﻿HomeTeam;AwayTeam;HomeWin%;Draw%;AwayWin%
Team A;Team B;45,0;25,0;30,0
Team C;Team D;60,5;20,0;19,5
Team E;Team F;15,0;30,0;55,0
Team G;Team H;33,3;33,3;33,4
Team I;Team J;40,0;25,0;35,0
Team K;Team L;50,0;20,0;30,0
Team M;Team N;25,0;25,0;50,0
Team O;Team P;70,0;15,0;15,0
Team Q;Team R;10,0;20,0;70,0
Team S;Team T;35,0;30,0;35,0
Team U;Team V;45,0;10,0;45,0
Team W;Team X;55,0;25,0;20,0
Team Y;Team Z;30,0;30,0;40,0
Team AA;Team BB;65,0;20,0;15,0
Team CC;Team DD;20,0;20,0;60,0
Team EE;Team FF;40,0;30,0;30,0
Team GG;Team HH;50,0;25,0;25,0
Team II;Team JJ;45,0;25,0;30,0
