﻿XPOS;TEAM;XPTS;LEAGUE%;KO P/0%;LAST 16%;QF%;SF%;FINAL%;WINNER%
1;Team A;18,5;10,0;0,0;90,0;50,0;25,0;12,0;5,0
2;Team B;17,0;5,0;5,0;85,0;45,0;20,0;10,0;4,0
3;Team C;16,5;2,0;10,0;80,0;40,0;15,0;8,0;3,0
4;Team D;16,0;1,0;15,0;75,0;35,0;12,0;6,0;2,0
5;Team E;15,5;0,5;20,0;70,0;30,0;10,0;5,0;1,5
6;Team F;15,0;0,2;25,0;65,0;25,0;8,0;4,0;1,0
7;Team G;14,5;0,1;30,0;60,0;20,0;6,0;3,0;0,5
8;Team H;14,0;0,0;35,0;55,0;18,0;5,0;2,0;0,2
9;Team I;13,5;0,0;90,0;5,0;15,0;4,0;1,5;0,1
10;Team J;13,2;0,0;85,0;8,0;12,0;3,5;1,2;0,1
11;Team K;13,0;0,0;80,0;12,0;10,0;3,0;1,0;0,05
12;Team L;12,8;0,0;75,0;15,0;8,0;2,5;0,8;0,04
13;Team M;12,5;0,0;70,0;20,0;7,0;2,0;0,7;0,03
14;Team N;12,2;0,0;65,0;25,0;6,0;1,8;0,6;0,02
15;Team O;12,0;0,0;60,0;30,0;5,0;1,5;0,5;0,02
16;Team P;11,8;0,0;55,0;35,0;4,0;1,2;0,4;0,01
17;Team Q;11,5;0,0;50,0;40,0;3,5;1,0;0,3;0,01
18;Team R;11,2;0,0;45,0;45,0;3,0;0,8;0,2;0,01
19;Team S;11,0;0,0;40,0;50,0;2,5;0,6;0,1;0,0
20;Team T;10,8;0,0;35,0;55,0;2,0;0,4;0,05;0,0
21;Team U;10,5;0,0;30,0;60,0;1,5;0,2;0,02;0,0
22;Team V;10,2;0,0;25,0;65,0;1,0;0,1;0,01;0,0
23;Team W;10,0;0,0;20,0;70,0;0,8;0,05;0,0;0,0
24;Team X;9,8;0,0;15,0;75,0;0,6;0,02;0,0;0,0
25;Team Y;9,5;0,0;5,0;5,0;0,4;0,01;0,0;0,0
26;Team Z;9,0;0,0;3,0;2,0;0,2;0,0;0,0;0,0
27;Team AA;8,5;0,0;2,0;1,0;0,1;0,0;0,0;0,0
28;Team BB;8,0;0,0;1,0;0,5;0,05;0,0;0,0;0,0
29;Team CC;7,5;0,0;0,5;0,2;0,02;0,0;0,0;0,0
30;Team DD;7,0;0,0;0,2;0,1;0,01;0,0;0,0;0,0
31;Team EE;6,5;0,0;0,1;0,05;0,0;0,0;0,0;0,0
32;Team FF;6,0;0,0;0,05;0,02;0,0;0,0;0,0;0,0
33;Team GG;5,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
34;Team HH;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
35;Team II;4,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
36;Team JJ;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
